,0
isDivis_2,0.8050065483986188
isDivis_3,0.6784438623645672
isDivis_5,0.45728658173592096
isDivis_7,0.3285212525300631
isDivis_11,0.19862483629003452
isDivis_13,0.15567329443981426
isDivis_17,0.11450767948565306
isDivis_19,0.0996844862483629
isDivis_23,0.0783426598404572
isDivis_29,0.05917371115609001
isDivis_31,0.055036313846886536
isDivis_37,0.04342778902250268
isDivis_41,0.03955828074770806
isDivis_43,0.03792118109298726
isDivis_47,0.0326824621978807
isDivis_53,0.028306941302536016
isDivis_59,0.0260745326824622
isDivis_61,0.02381235861412073
isDivis_67,0.021371591856173353
isDivis_71,0.02027027027027027
isDivis_73,0.01922847958090249
isDivis_79,0.01669841647815216
isDivis_83,0.015805453030122634
isDivis_89,0.015239909513037267
isDivis_97,0.01407905703059888
isDivis_101,0.013007500892963448
isDivis_103,0.011727586617454459
isDivis_107,0.01110251220383379
isDivis_109,0.01113227765210144
isDivis_113,0.010388141445410167
isDivis_127,0.010417906893677819
isDivis_131,0.009346350756042386
isDivis_137,0.00913799261816883
isDivis_139,0.008959399928562924
isDivis_149,0.008334325514942256
isDivis_151,0.008334325514942256
isDivis_157,0.00785807834265984
isDivis_163,0.007649720204786284
isDivis_167,0.00622097868793904
isDivis_173,0.006578164067150851
isDivis_179,0.00684605310155971
isDivis_181,0.0074115966186450765
isDivis_191,0.005536373377783069
isDivis_193,0.0058637933087272295
isDivis_197,0.0053280152399095134
isDivis_199,0.005744731515656626
isDivis_211,0.006101916894868437
isDivis_223,0.004762471722824146
isDivis_227,0.00589355875699488
isDivis_229,0.004911298964162401
isDivis_233,0.0047327062745564944
isDivis_239,0.0045243481366829385
isDivis_241,0.004375520895344684
isDivis_251,0.0036016192403857603
isDivis_257,0.004167162757471128
isDivis_263,0.004375520895344684
isDivis_269,0.0036016192403857603
isDivis_271,0.003690915585188713
isDivis_277,0.003661150136921062
isDivis_281,0.004107631860935826
isDivis_283,0.0036313846886534113
isDivis_293,0.0031849029646386475
isDivis_307,0.0034825574473151565
isDivis_311,0.003542088343850458
isDivis_313,0.003095606619835695
isDivis_317,0.003244433861173949
isDivis_331,0.003244433861173949
isDivis_337,0.003006310275032742
isDivis_347,0.0024110013096797236
isDivis_349,0.003363495654244553
isDivis_353,0.0032741993094416
isDivis_359,0.0031849029646386475
isDivis_367,0.002381235861412073
isDivis_373,0.002083581378735564
isDivis_379,0.0019049886891296583
isDivis_383,0.0024705322062150256
isDivis_389,0.0025598285510179783
isDivis_397,0.0022919395166091203
isDivis_401,0.0024110013096797236
isDivis_409,0.002351470413144422
isDivis_419,0.0016668651029884511
isDivis_421,0.0024407667579473746
isDivis_431,0.002024050482200262
isDivis_433,0.0022621740683414692
isDivis_439,0.0024110013096797236
isDivis_443,0.0024705322062150256
isDivis_449,0.0025598285510179783
isDivis_457,0.0019347541373973091
isDivis_461,0.002381235861412073
isDivis_463,0.0024705322062150256
isDivis_467,0.0018156923443267056
isDivis_479,0.0024110013096797236
isDivis_487,0.0025598285510179783
isDivis_491,0.001696630551256102
isDivis_499,0.0021133468270032145
isDivis_503,0.0022026431718061676
